"dataset_origin" "subject" "activity" "measure" "mean"
"TRAIN" "1" "LAYING" "body_acceleration_average_frequency-x" 0.25297619936
"TRAIN" "1" "LAYING" "body_acceleration_average_frequency-y" 0.305871713986
"TRAIN" "1" "LAYING" "body_acceleration_average_frequency-z" 0.36414313694
"TRAIN" "1" "LAYING" "body_acceleration_jerk_average_frequency-x" 0.188888090658
"TRAIN" "1" "LAYING" "body_acceleration_jerk_average_frequency-y" 0.217713952392
"TRAIN" "1" "LAYING" "body_acceleration_jerk_average_frequency-z" 0.2242290704
"TRAIN" "1" "LAYING" "body_acceleration_jerk_magnitude_mean_time" 0.9543962646
"TRAIN" "1" "LAYING" "body_acceleration_jerk_magnitude_standard_deviation_time" 0.9282456284
"TRAIN" "1" "LAYING" "body_acceleration_jerk_mean_frequency-x" 0.9570738838
"TRAIN" "1" "LAYING" "body_acceleration_jerk_mean_frequency-y" 0.9224626098
"TRAIN" "1" "LAYING" "body_acceleration_jerk_mean_frequency-z" 0.9480609042
"TRAIN" "1" "LAYING" "body_acceleration_jerk_mean_time-x" 0.08477792328
"TRAIN" "1" "LAYING" "body_acceleration_jerk_mean_time-y" 0.048154106278
"TRAIN" "1" "LAYING" "body_acceleration_jerk_mean_time-z" 0.0589356773914
"TRAIN" "1" "LAYING" "body_acceleration_jerk_standard_deviation_frequency-x" 0.9641607086
"TRAIN" "1" "LAYING" "body_acceleration_jerk_standard_deviation_frequency-y" 0.9322178704
"TRAIN" "1" "LAYING" "body_acceleration_jerk_standard_deviation_frequency-z" 0.9605869872
"TRAIN" "1" "LAYING" "body_acceleration_jerk_standard_deviation_time-x" 0.958482112
"TRAIN" "1" "LAYING" "body_acceleration_jerk_standard_deviation_time-y" 0.9241492736
"TRAIN" "1" "LAYING" "body_acceleration_jerk_standard_deviation_time-z" 0.9548551108
"TRAIN" "1" "LAYING" "body_acceleration_magnitude_average_frequency" 0.46600083574
"TRAIN" "1" "LAYING" "body_acceleration_magnitude_mean_frequency" 0.8617676481
"TRAIN" "1" "LAYING" "body_acceleration_magnitude_mean_time" 0.8537227109
"TRAIN" "1" "LAYING" "body_acceleration_magnitude_standard_deviation_frequency" 0.81414352276
"TRAIN" "1" "LAYING" "body_acceleration_magnitude_standard_deviation_time" 0.81091300682
"TRAIN" "1" "LAYING" "body_acceleration_mean_frequency-x" 0.9390990524
"TRAIN" "1" "LAYING" "body_acceleration_mean_frequency-y" 0.87875433762
"TRAIN" "1" "LAYING" "body_acceleration_mean_frequency-z" 0.8826668762
"TRAIN" "1" "LAYING" "body_acceleration_mean_time-x" 0.2693312781
"TRAIN" "1" "LAYING" "body_acceleration_mean_time-y" 0.0517071797226
"TRAIN" "1" "LAYING" "body_acceleration_mean_time-z" 0.14674979098
"TRAIN" "1" "LAYING" "body_acceleration_standard_deviation_frequency-x" 0.9244374346
"TRAIN" "1" "LAYING" "body_acceleration_standard_deviation_frequency-y" 0.8636951513
"TRAIN" "1" "LAYING" "body_acceleration_standard_deviation_frequency-z" 0.8209390966
"TRAIN" "1" "LAYING" "body_acceleration_standard_deviation_time-x" 0.9280564692
"TRAIN" "1" "LAYING" "body_acceleration_standard_deviation_time-y" 0.86212533238
"TRAIN" "1" "LAYING" "body_acceleration_standard_deviation_time-z" 0.828518179652
"TRAIN" "1" "LAYING" "body_body_acceleration_jerk_magnitude_average_frequency" 0.37464174124
"TRAIN" "1" "LAYING" "body_body_acceleration_jerk_magnitude_mean_frequency" 0.9333003608
"TRAIN" "1" "LAYING" "body_body_acceleration_jerk_magnitude_standard_deviation_frequency" 0.9218039756
"TRAIN" "1" "LAYING" "body_body_gyroscope_jerk_magnitude_average_frequency" 0.394034919
"TRAIN" "1" "LAYING" "body_body_gyroscope_jerk_magnitude_mean_frequency" 0.9423669466
"TRAIN" "1" "LAYING" "body_body_gyroscope_jerk_magnitude_standard_deviation_frequency" 0.9326606676
"TRAIN" "1" "LAYING" "body_body_gyroscope_magnitude_average_frequency" 0.29622677626
"TRAIN" "1" "LAYING" "body_body_gyroscope_magnitude_mean_frequency" 0.8663920362
"TRAIN" "1" "LAYING" "body_body_gyroscope_magnitude_standard_deviation_frequency" 0.84137771728
"TRAIN" "1" "LAYING" "body_gyroscope_average_frequency-x" 0.307570065036
"TRAIN" "1" "LAYING" "body_gyroscope_average_frequency-y" 0.207854634042
"TRAIN" "1" "LAYING" "body_gyroscope_average_frequency-z" 0.2432886055
"TRAIN" "1" "LAYING" "body_gyroscope_jerk_magnitude_mean_time" 0.96346103
"TRAIN" "1" "LAYING" "body_gyroscope_jerk_magnitude_standard_deviation_time" 0.9358409828
